category, name, film, winner, 
ACTOR, Richard Barthelmess, The Noose, False, 
ACTOR, Emil Jannings, The Last Command, True, 
ACTRESS, Louise Dresser, A Ship Comes In, False, 
ACTRESS, Janet Gaynor, 7th Heaven, True, 
ACTRESS, Gloria Swanson, Sadie Thompson, False, 
ART DIRECTION, Rochus Gliese, Sunrise, False, 
ART DIRECTION, William Cameron Menzies, The Dove;, True, 
ART DIRECTION, Harry Oliver, 7th Heaven, False, 
CINEMATOGRAPHY, George Barnes, The Devil Dancer;, False, 
CINEMATOGRAPHY, Charles Rosher, Sunrise, True, 
CINEMATOGRAPHY, Karl Struss, Sunrise, True, 
DIRECTING (Comedy Picture), Lewis Milestone, Two Arabian Knights, True, 
DIRECTING (Comedy Picture), Ted Wilde, Speedy, False, 
DIRECTING (Dramatic Picture), Frank Borzage, 7th Heaven, True, 
DIRECTING (Dramatic Picture), Herbert Brenon, Sorrell and Son, False, 
DIRECTING (Dramatic Picture), King Vidor, The Crowd, False, 
ENGINEERING EFFECTS, Ralph Hammeras, , False, 
ENGINEERING EFFECTS, Roy Pomeroy, Wings, True, 
ENGINEERING EFFECTS, Nugent Slaughter, , False, 
OUTSTANDING PICTURE, The Caddo Company, The Racket, False, 
OUTSTANDING PICTURE, Fox, 7th Heaven, False, 
OUTSTANDING PICTURE, Paramount Famous Lasky, Wings, True, 
UNIQUE AND ARTISTIC PICTURE, Fox, Sunrise, True, 
UNIQUE AND ARTISTIC PICTURE, Metro-Goldwyn-Mayer, The Crowd, False, 
UNIQUE AND ARTISTIC PICTURE, Paramount Famous Lasky, Chang, False, 
WRITING (Adaptation), Alfred Cohn, The Jazz Singer, False, 
WRITING (Adaptation), Anthony Coldeway, Glorious Betsy, False, 
WRITING (Adaptation), Benjamin Glazer, 7th Heaven, True, 
WRITING (Original Story), Lajos Biro, The Last Command, False, 
WRITING (Original Story), Ben Hecht, Underworld, True, 
WRITING (Title Writing), Gerald Duffy, The Private Life of Helen of Troy, False, 
WRITING (Title Writing), Joseph Farnham, , True, 
WRITING (Title Writing), "George Marion,  Jr.", , False, 
SPECIAL AWARD,  Warner Bros., , True, 
SPECIAL AWARD,  Charles Chaplin, , True, 
ACTOR, George Bancroft, Thunderbolt, False, 
ACTOR, Warner Baxter, In Old Arizona, True, 
ACTOR, Chester Morris, Alibi, False, 
ACTOR, Paul Muni, The Valiant, False, 
ACTOR, Lewis Stone, The Patriot, False, 
ACTRESS, Ruth Chatterton, Madame X, False, 
ACTRESS, Betty Compson, The Barker, False, 
ACTRESS, Jeanne Eagels, The Letter, False, 
ACTRESS, Corinne Griffith, The Divine Lady, False, 
ACTRESS, Bessie Love, The Broadway Melody, False, 
ACTRESS, Mary Pickford, Coquette, True, 
ART DIRECTION, Hans Dreier, The Patriot, False, 
ART DIRECTION, Cedric Gibbons, The Bridge of San Luis Rey, True, 
ART DIRECTION, Mitchell Leisen, Dynamite, False, 
ART DIRECTION, William Cameron Menzies, Alibi;, False, 
ART DIRECTION, Harry Oliver, Street Angel, False, 
CINEMATOGRAPHY, George Barnes, Our Dancing Daughters, False, 
CINEMATOGRAPHY, Clyde De Vinna, White Shadows in the South Seas, True, 
CINEMATOGRAPHY, Arthur Edeson, In Old Arizona, False, 
CINEMATOGRAPHY, Ernest Palmer, Four Devils;, False, 
CINEMATOGRAPHY, John Seitz, The Divine Lady, False, 
DIRECTING, Lionel Barrymore, Madame X, False, 
DIRECTING, Harry Beaumont, The Broadway Melody, False, 
DIRECTING, Irving Cummings, In Old Arizona, False, 
DIRECTING, Frank Lloyd, The Divine Lady, True, 
DIRECTING, Frank Lloyd, Drag;, False, 
DIRECTING, Ernst Lubitsch, The Patriot, False, 
OUTSTANDING PICTURE, Feature Productions, Alibi, False, 
OUTSTANDING PICTURE, Fox, In Old Arizona, False, 
OUTSTANDING PICTURE, Metro-Goldwyn-Mayer, The Broadway Melody, True, 
OUTSTANDING PICTURE, Metro-Goldwyn-Mayer, Hollywood Revue, False, 
OUTSTANDING PICTURE, Paramount Famous Lasky, The Patriot, False, 
WRITING, Tom Barry, In Old Arizona;, False, 
WRITING, Elliott Clawson, The Cop;, False, 
WRITING, Hans Kraly, The Last of Mrs. Cheyney, False, 
WRITING, Hans Kraly, The Patriot, True, 
WRITING, Josephine Lovett, Our Dancing Daughters, False, 
WRITING, Bess Meredyth, A Woman of Affairs;, False, 
ACTOR, George Arliss, Disraeli, True, 
ACTOR, George Arliss, The Green Goddess, False, 
ACTOR, Wallace Beery, The Big House, False, 
ACTOR, Maurice Chevalier, The Big Pond, False, 
ACTOR, Ronald Colman, Bulldog Drummond, False, 
ACTOR, Lawrence Tibbett, The Rogue Song, False, 
ACTRESS, Nancy Carroll, The Devil's Holiday, False, 
ACTRESS, Ruth Chatterton, Sarah and Son, False, 
ACTRESS, Greta Garbo, Anna Christie, False, 
ACTRESS, Norma Shearer, The Divorcee, True, 
ACTRESS, Norma Shearer, Their Own Desire, False, 
ACTRESS, Gloria Swanson, The Trespasser, False, 
ART DIRECTION, (William Cameron Menzies), Bulldog Drummond, False, 
ART DIRECTION, Herman Rosse, King of Jazz, True, 
ART DIRECTION, (Hans Dreier), The Love Parade, False, 
ART DIRECTION, (Jack Okey), Sally, False, 
ART DIRECTION, (Hans Dreier), The Vagabond King, False, 
CINEMATOGRAPHY, (Arthur Edeson), All Quiet on the Western Front, False, 
CINEMATOGRAPHY, (William Daniels), Anna Christie, False, 
CINEMATOGRAPHY, "(Gaetano Gaudio),  (Harry Perry)", Hell's Angels, False, 
CINEMATOGRAPHY, (Victor Milner), The Love Parade, False, 
CINEMATOGRAPHY, "Joseph T. Rucker,  Willard Van Der Veer", With Byrd at the South Pole, True, 
DIRECTING, Clarence Brown, Anna Christie;, False, 
DIRECTING, Robert Leonard, The Divorcee, False, 
DIRECTING, Ernst Lubitsch, The Love Parade, False, 
DIRECTING, Lewis Milestone, All Quiet on the Western Front, True, 
DIRECTING, King Vidor, Hallelujah, False, 
OUTSTANDING PRODUCTION, Universal, All Quiet on the Western Front, True, 
OUTSTANDING PRODUCTION, Cosmopolitan, The Big House, False, 
OUTSTANDING PRODUCTION, Warner Bros., Disraeli, False, 
OUTSTANDING PRODUCTION, Metro-Goldwyn-Mayer, The Divorcee, False, 
OUTSTANDING PRODUCTION, Paramount Famous Lasky, The Love Parade, False, 
SOUND RECORDING, "Metro-Goldwyn-Mayer Studio Sound Department,  Douglas Shearer,  Sound Director", The Big House, True, 
SOUND RECORDING, "(RKO Radio Studio Sound Department,  John Tribby,  Sound Director)", The Case of Sergeant Grischa, False, 
SOUND RECORDING, "(Paramount Famous Lasky Studio Sound Department,  Franklin Hansen,  Sound Director)", The Love Parade, False, 
SOUND RECORDING, "(United Artists Studio Sound Department,  Oscar Lagerstrom,  Sound Director)", Raffles, False, 
SOUND RECORDING, "(First National Studio Sound Department,  George Groves,  Sound Director)", Song of the Flame, False, 
WRITING, "(George Abbott),  (Maxwell Anderson),  (Del Andrews)", All Quiet on the Western Front, False, 
WRITING, Frances Marion, The Big House, True, 
WRITING, (Julian Josephson), Disraeli, False, 
WRITING, (John Meehan), The Divorcee, False, 
WRITING, (Howard Estabrook), Street of Chance, False, 
ACTOR, Lionel Barrymore, A Free Soul, True, 
ACTOR, Jackie Cooper, Skippy, False, 
ACTOR, Richard Dix, Cimarron, False, 
ACTOR, Fredric March, The Royal Family of Broadway, False, 
ACTOR, Adolphe Menjou, The Front Page, False, 
ACTRESS, Marlene Dietrich, Morocco, False, 
ACTRESS, Marie Dressler, Min and Bill, True, 
ACTRESS, Irene Dunne, Cimarron, False, 
ACTRESS, Ann Harding, Holiday, False, 
ACTRESS, Norma Shearer, A Free Soul, False, 
ART DIRECTION, Max R├⌐e, Cimarron, True, 
ART DIRECTION, "Stephen Goosson,  Ralph Hammeras", Just Imagine, False, 
ART DIRECTION, Hans Dreier, Morocco, False, 
ART DIRECTION, Anton Grot, Svengali, False, 
ART DIRECTION, Richard Day, Whoopee!, False, 
CINEMATOGRAPHY, Edward Cronjager, Cimarron, False, 
CINEMATOGRAPHY, Lee Garmes, Morocco, False, 
CINEMATOGRAPHY, Charles Lang, The Right to Love, False, 
CINEMATOGRAPHY, "Barney ""Chick"" McGill", Svengali, False, 
CINEMATOGRAPHY, Floyd Crosby, Tabu, True, 
DIRECTING, Wesley Ruggles, Cimarron, False, 
DIRECTING, Clarence Brown, A Free Soul, False, 
DIRECTING, Lewis Milestone, The Front Page, False, 
DIRECTING, Josef Von Sternberg, Morocco, False, 
DIRECTING, Norman Taurog, Skippy, True, 
OUTSTANDING PRODUCTION, RKO Radio, Cimarron, True, 
OUTSTANDING PRODUCTION, Fox, East Lynne, False, 
OUTSTANDING PRODUCTION, The Caddo Company, The Front Page, False, 
OUTSTANDING PRODUCTION, Paramount Publix, Skippy, False, 
OUTSTANDING PRODUCTION, Metro-Goldwyn-Mayer, Trader Horn, False, 
SOUND RECORDING, Samuel Goldwyn - United Artists Studio Sound Department, , False, 
